"year","sim","spp1","spp10","spp11","spp12","spp13","spp14","spp15","spp16","spp17","spp18","spp19","spp2","spp20","spp3","spp4","spp5","spp6","spp7","spp8","spp9"
27,1,1027.77038862945,695.407543776965,994.118940566813,834.678770883455,965.026499435691,825.549410210547,1060.62701908248,1229.75652204513,1495.57827752456,954.76215431531,1208.22299319149,674.001047873542,828.014056115404,1022.41836118518,724.995746903164,1220.69678564,943.674824700379,1008.27509566618,1033.96397452376,924.6962909775
28,1,1343.40827153466,738.480155827388,818.162933713551,929.795349924199,891.791491822902,885.366617689388,897.6359109599,1129.71967733493,1319.39689446992,585.220726766969,1152.01521591519,1056.90132801791,792.693858597927,991.289281466135,874.82126073378,1022.68247130999,959.823293842859,918.064239938087,1490.7746277659,621.258689659463
29,1,961.907301285708,1040.91608801042,877.824857560676,708.578107411383,560.105125348542,847.651942994916,928.37155870321,1259.07461575415,1397.05228004208,928.844759023326,899.28443151698,1003.56991942464,992.020212809215,1212.21329876733,979.328411335337,1199.45369511222,1263.08159352336,715.845795311795,1329.28854971165,778.611880697793
30,1,985.9047027905,1036.02474152576,910.711570474414,905.118837230258,517.450256209339,1132.91301109076,881.806736565954,1411.41953401795,1244.90986401766,1143.99988126278,938.191063068024,1010.26473362187,1054.15279271398,1176.9917348086,973.424571458152,958.089598388549,953.342855697574,742.38384978883,1442.31709084486,577.975946281748
31,1,1041.11609248119,1046.4737012392,728.768927497952,1115.91803319345,595.831367886072,797.517715944484,851.807270355115,1408.86859388411,1148.09595962826,1216.89928251331,1458.44444236796,1076.40449797001,1058.69271233109,1092.08585039405,903.081001127297,912.809905615965,969.753837200835,818.175911172033,1155.4152375239,806.110305776
32,1,1132.37787984058,974.03183195559,844.79157044552,967.041067532483,797.798088502607,748.309191049782,896.464105887612,783.334525765743,971.534772466409,924.428361149642,1115.88571261895,1173.59606124165,1270.54090074695,1175.26180215262,975.619724186119,1152.08090010088,1161.51591034616,846.428788322391,1085.11176451834,913.060069138869
33,1,911.487566984974,768.927345488025,602.951411263265,748.492990076113,699.967627577457,817.667712948972,743.626047578966,823.708913427457,1090.37376470375,872.538880293175,696.63307373001,1091.43332882338,1371.87340012928,1117.54445859397,952.682117460331,1438.30859342542,939.193891079333,593.268960508067,1023.81184315146,657.618333984985
34,1,902.864285161569,1055.04979524808,710.759917572491,730.449547040466,909.019370047014,968.073071197258,678.439735337706,944.096115720639,1052.02083667315,1083.82067792077,779.884209987487,1278.80309335146,1172.90141614546,1448.50634892603,677.039042829484,888.209168164971,1010.95193569534,720.596563345979,880.816055084407,629.8174475141
35,1,1111.80929454403,1441.52917004297,706.517013276189,875.471912812928,668.246552889631,911.190150211983,747.753490893189,1067.26395206324,1067.17554426269,1309.01043036304,908.280283565881,1033.20956035814,1253.47631064607,1227.3244654904,727.385773218912,831.714604173724,1104.49514106757,769.065067977391,1001.23296135711,653.014481742261
36,1,719.543039152753,1262.95783238344,649.862581706305,1035.05916017674,882.912105108674,984.791849678668,597.127718693462,1160.32573602193,1231.7426733511,1183.99335792754,1399.30069736103,1196.45133965989,1053.1834774925,1219.2803200184,838.64599734221,709.333251811308,1255.83976605011,696.067687318057,1394.52334419099,741.660142928743
37,1,649.039524020727,851.545032905595,820.396669878167,1114.67221559754,586.247079239089,970.379291153795,627.381782910751,1368.65035972301,1116.01606858074,951.762578575631,1074.52755662057,751.587642455636,941.005307354479,1230.19099994989,942.575403110495,863.610838565938,1254.88053982663,534.885268850987,853.086128745231,961.153277608935
38,1,774.078546761002,996.643210143205,983.983922700807,1297.80620417696,723.330542753063,905.794708743116,475.347692046282,1203.8901037544,838.490818209293,1322.62625901422,785.908455013393,887.07939294073,1030.58305743881,1482.57845964481,1127.15863448962,877.389790930752,943.965088955817,712.797615465049,668.677700927198,892.650042228186
39,1,663.856513608466,1016.34411222964,1078.70630201401,1072.37389100064,991.623514152078,858.99380552076,532.911468095871,1241.99118056577,880.085784953284,891.394947958551,733.670542887386,1234.32018720634,1004.48879170236,988.429219853041,1111.46891289996,731.154247215644,1184.29194658022,1190.88571232638,881.671155413944,916.544382864013
40,1,951.733804294498,1075.18488468585,1229.34546949448,1122.51766153844,1156.11651568839,959.450359019332,853.069717470252,1498.93761164485,950.107195887598,1052.94906815908,1379.53824023454,1455.88096143234,1441.10999719123,1208.13513805372,1117.15242591974,863.412107605967,936.841165225031,1785.53997230757,1241.25240889155,636.298420931783
41,1,1067.63777419593,972.979746915573,743.061452153681,1054.4387903534,962.135009419817,1001.28971976214,848.724691674483,1145.55223459515,1055.49461564716,1005.84981614497,1236.34190507278,1205.42051498407,1077.77249428836,1189.73493889705,1141.294674651,874.21328753898,799.857541941441,1575.19267936967,1099.14369619868,889.887394062544
42,1,1021.41989626133,746.761929579107,882.966620567709,635.645242211842,620.45008619272,521.592865048536,607.684131276483,1106.84558393968,1343.62608491237,767.540131223154,1334.82570262779,1008.08145441865,902.700282722771,912.198517195302,745.713176748288,1067.4999537711,818.503407502513,1219.44208661285,861.635722867039,1035.92937280264
43,1,1168.02864340144,654.769691029158,941.124261222016,709.629615789327,807.770748273387,782.281310087771,901.762123350746,789.414965534265,1116.64304347523,915.745967074687,1310.43653107564,1234.82781397556,1281.1670154526,790.833530662575,765.268659949119,955.750074339321,1121.54960351213,1386.33840685104,1127.02669516651,1083.65946034873
44,1,860.353523260718,630.43564883295,810.500465439669,750.616382077146,1019.72531455748,905.5078004791,572.219454161458,959.778255369186,859.632906812978,643.27655045549,1133.79041608635,1083.78190225957,1533.40663454509,920.408817737579,970.693369089089,962.615660481659,734.496927796051,1021.16454394336,1138.78464809636,838.454053316954
45,1,543.640650800519,831.027142266372,885.888273021597,851.921123432544,1049.63989643564,677.528428725907,736.904182586107,846.316421561446,1035.52919396218,829.595081803718,1133.83750527478,1152.67919431465,1122.06596486044,609.505326387143,790.296430729563,1036.91720385262,989.09971714235,1011.32240690879,1395.72460310946,889.222892835376
46,1,687.831775267406,1156.41876463818,950.901819098642,992.963509940745,703.139431786481,1194.89453499279,553.213886328338,885.723304562387,1695.57470173681,916.139900723559,1177.82642229344,957.467641346174,1328.75312271425,849.813955678063,798.53834112887,1388.29383864151,815.009715267425,1095.32274533136,1622.03845488402,1116.84493437239
47,1,821.575347036136,811.227682844982,1009.05422380876,742.75808059861,634.928660880335,1196.02359604397,783.443422940956,1038.69547067566,791.231402057929,790.598325425246,1119.71464186443,947.306534572613,1286.7524337421,976.1365129032,696.852164075754,1064.4732781169,626.836754328256,1195.40990520992,1054.22655478475,852.814118675303
48,1,1080.35048520596,944.789979548091,629.533521876721,863.411912154533,828.188816388783,1053.66539011367,741.714674248749,898.961997514306,915.504519143812,776.074837008633,1149.80179990157,756.392233371844,956.488854807862,912.943406377301,746.853304188732,1100.98997262433,690.25559502964,957.852574179962,1155.93895966728,852.563717773327
49,1,1082.66825536658,744.8150011121,767.549476759891,759.935352236099,808.17391295001,906.052875881808,815.583862772344,902.93936583836,1092.3640914049,1145.21485187879,1079.32178413207,850.898944294938,1124.75564959769,1226.8264886146,880.172314132344,954.552855545458,1102.20614686876,778.418813012409,978.199491303289,1260.32401884405
50,1,1038.50644807897,725.149561126442,1190.79378808708,895.466131842296,819.485140142713,765.475272468878,999.337239308492,1184.03653493708,1279.83350653715,978.551576444094,938.444903462884,657.782415846563,1205.78098938897,1111.00227720812,644.181323329424,923.451599845641,741.724559928308,1115.93304695638,698.750030691215,845.901565910859
